ERROR:[2023-03-25 14:00:02,589]:requester-66 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:05,350]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:08,083]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:10,848]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:13,594]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:16,313]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:19,076]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:21,809]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:24,519]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:27,224]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:29,975]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:33,368]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:36,335]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:39,272]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:42,212]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:45,153]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:48,072]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:51,075]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:54,035]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:00:56,977]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:01,001]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:03,945]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:06,922]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:09,922]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:12,848]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:15,790]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:18,719]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:21,725]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:24,746]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:27,678]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:30,605]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:33,530]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:36,529]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:39,466]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:42,454]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:45,379]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:48,360]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:51,299]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:54,237]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:01:57,164]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:00,107]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:03,097]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:06,058]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:08,976]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:11,935]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:14,873]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:17,878]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:20,846]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:23,799]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:26,764]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:29,758]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:32,690]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:35,621]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:38,629]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:41,600]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:44,574]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:47,499]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:50,470]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:53,455]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:56,365]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:02:59,343]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:02,350]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:05,306]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:08,275]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:11,249]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:14,210]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:17,113]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:20,142]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:23,059]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:26,036]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:28,977]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:31,941]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:34,904]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:37,866]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:40,829]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:43,853]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:46,777]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:49,751]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:52,738]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:55,722]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:03:58,725]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:01,650]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:04,618]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:07,547]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:10,492]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:13,505]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:16,465]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:19,445]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:22,429]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:25,400]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:28,413]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:31,357]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:34,277]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:37,214]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:40,145]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:43,104]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:46,078]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:49,014]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:52,012]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:54,961]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:04:57,932]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:00,914]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:03,872]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:06,823]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:09,793]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:12,762]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:15,699]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:18,667]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:21,585]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:24,554]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:27,542]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:30,485]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:33,469]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:36,432]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:39,411]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:42,350]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:45,289]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:48,247]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:51,191]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:54,198]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:05:57,134]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:00,054]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:02,982]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:05,967]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:08,902]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:11,870]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:14,796]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:17,818]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:20,792]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:23,761]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:26,677]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:29,684]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:32,637]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:35,598]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:38,528]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:41,532]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:44,456]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:47,412]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:50,323]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:53,291]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:56,231]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:06:59,199]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:02,206]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:05,165]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:08,145]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:11,077]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:14,002]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:16,978]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:19,957]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:22,927]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:25,902]:requester-129 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:28,868]:requester-112 : Invalid proxy, using no proxy instead
ERROR:[2023-03-25 14:07:31,834]:requester-129 : Invalid proxy, using no proxy instead
